,feature_mean,feature_mean,feature_std,feature_std,feature_min,feature_min,feature_max,feature_max,feature_median,feature_median
,mean,std,mean,std,mean,std,mean,std,mean,std
category,,,,,,,,,,
bon,0.44805220730310263,0.0622343394717026,0.6414277463007161,0.04910409714455169,0.0,0.0,4.14973342124105,0.46830538966889085,0.17370743801909308,0.07388758547590828
mauvais,0.4475967030331754,0.08212755375732611,0.6600337836492891,0.06385942228084625,0.0,0.0,4.346688319589258,0.4937039960310335,0.16571341884676144,0.08951867139890698
moyen,0.4263775067027864,0.06534277370973642,0.6462285184055728,0.046127743773949514,0.0,0.0,4.205941831733746,0.4315700284750827,0.14133019890247678,0.06912358510505977
